Code Size (B),Execution Time (µs),Memory Usage (KB)
2968,5043,27648
1627,926,25344
1184,2706,25344
87,270,23616
440,878,25632
5550,7524,28512
1338,673,24768
3008,3105,26496
2306,3237,26208
539,354,24480
486,425,24480
545,1017,25920
1570,2729,27072
235,380,24192
2772,7754,28224
19455,29050,32832
733,1073,25344
1109,587,24480
2194,1997,26496
3401,6960,28512
1055,793,25920
1352,903,24480
2640,2335,25056
2365,3596,26784
1401,2091,26208
475,555,24192
87,236,24480
420,713,25344
4992,5757,27936
7876,11199,29376
1190,586,24480
664,485,24480
294,318,24480
3051,6260,27648
1938,928,24192
2366,3146,26496
831,724,24480
577,1468,24768
477,396,24768
945,2273,25632
861,1992,26208
251,407,24192
1435,1832,25632
561,473,24768
347,340,24768
2379,2470,26208
2110,1218,24768
87,230,24480
1151,1245,25920
87,344,24192
21456,36599,36288
256,406,24192
447,980,25632
1974,1063,25344
2990,2643,26496
1651,979,24768
481,715,25632
444,1856,25632
2494,3090,26784
975,640,24192
298,653,25056
296,744,25056
1253,1464,25344
4597,7794,27648
306,632,24768
3464,4533,27648
436,708,25056
13223,25508,31968
988,1628,25920
792,1093,25344
3866,8956,29088
1306,1691,25920
3368,6144,27936
1653,1783,25920
341,918,25056
1963,2346,26496
290,346,24768
797,904,25344
140,325,23904
981,1516,25344
87,237,24192
1672,1544,24768
17391,26097,32544
680,1888,25920
1513,1843,25056
3011,3085,26496
1049,1966,25632
313,877,25920
1803,6248,26496
5968,4770,27360
7392,12709,29376
428,403,24480
479,339,24192
8451,20775,29664
5773,10077,29376
2684,5725,27360
1745,1145,25344
423,510,24768
18333,23433,33120
329,478,24192
1303,664,24480
431,1190,23904
1217,1340,25632
1830,942,25344
749,954,25920
530,468,24480
385,387,24192
1918,1944,25920
4307,6990,28800
652,411,24768
1647,4674,27360
10326,16397,30816
221,426,23904
752,1509,25056
6408,9066,29376
1187,962,25632
3472,4803,27360
9890,12782,29952
3762,4281,27648
11281,14831,30240
6734,19229,29088
16876,30021,33696
1822,2365,26208
1675,3395,26784
2377,3238,26784
435,596,24480
2824,3547,27360
472,629,25344
745,493,24192
2280,2617,26496
8669,11367,29376
1062,1275,25632
6492,7608,28800
943,2083,25920
14848,26003,33984
87,237,23616
1323,1195,25344
1759,1743,25632
196,693,24192
669,428,24480
912,641,24192
4512,11915,27936
1913,2292,26208
1255,1941,25632
555,373,24480
2589,3755,26496
1986,1264,25632
811,1397,25344
3852,7469,27648
1411,4636,27360
2330,2047,26208
722,472,24192
578,952,25632
3620,6014,27936
870,546,24480
7725,21301,29664
2661,3222,27360
3142,4320,26496
1164,744,24768
4763,6005,27648
3523,5719,27936
1180,633,24768
3763,8539,28512
87,245,23904
10422,19381,31104
9661,21474,31104
1249,940,25056
3815,3729,26784
534,412,24480
1067,1033,24768
230,1050,25632
4524,5759,27648
1849,1323,25344
9140,19554,29952
3477,4367,27360
7223,12776,29664
1175,1547,25056
1225,1544,26208
3590,5339,27072
732,544,24480
9682,13122,29664
944,1639,25632
2806,1068,25056
507,612,24192
5367,8733,28800
515,389,24192
1396,2553,26784
2481,1761,26208
1013,662,24480
289,300,24768
3087,4997,27936
8708,14981,30528
7843,15803,30816
1770,1768,25920
1160,1197,25632
6330,9798,28800
5287,6832,26784
789,1260,25056
2646,3703,26496
1593,2228,26208
257,574,25056
3717,11897,29376
252,365,24480
8752,21555,31392
4759,12401,28512
2720,3424,26496
528,782,25344
825,2185,24480
87,272,24192
175,411,24192
1740,792,24768
696,1777,25920
4011,6833,28224
461,769,25632
1717,2089,24480
14039,20202,32256
2785,4519,27072
3246,5725,27072
268,339,24768
3639,5771,28224
1603,4137,27648
412,700,24768
7336,13136,29952
9131,15091,30816
641,649,24192
462,947,25344
980,575,24480
625,515,24480
396,1984,24768
908,569,24480
2282,1672,25920
11090,22337,32256
1090,1756,26208
710,408,24480
6215,8974,28512
159,308,24768
3561,2911,26496
553,474,24480
8630,20071,30240
313,325,24480
452,406,24192
15945,24435,32256
1981,3088,26208
153,270,24192
12787,25456,32832
369,566,24192
6031,5496,28224
1402,1615,25920
355,424,23904
247,331,24480
7592,11216,28800
14990,21664,30816
1376,1692,25920
768,488,24480
974,650,25344
834,1624,25632
8790,19782,30528
1980,1721,25056
175,273,24480
1846,3068,26496
649,416,24480
1533,803,24480
6391,11109,28800
485,537,23904
3196,12971,28224
323,379,23904
850,760,24480
159,456,24192
226,666,24192
417,847,25344
473,441,24480
4054,7125,27360
666,371,24192
712,475,24480
1107,1363,25344
399,381,24192
604,1048,25632
193,296,24480
8336,9951,29088
1313,1079,25056
2061,3191,27072
837,1629,25056
879,4118,25920
1050,543,24480
2099,4228,27360
6030,10921,28800
1768,9372,26496
1112,2125,26496
1275,1780,25920
87,236,24192
8009,13500,29664
604,1662,25632
277,327,24768
4505,9336,28224
1573,709,24768
4152,3547,26496
1151,902,25056
9303,7130,28224
6533,6181,27648
1960,2277,25632
2119,2558,25920
1595,2251,25632
7582,8303,28512
1787,1560,25920
1071,2031,26496
1121,505,24768
619,891,25632
9665,17975,31104
1090,1705,25920
1323,2564,26784
776,1166,25344
3861,5454,27648
3863,8718,28800
637,482,24768
12734,21308,32544
656,925,25920
696,746,24768
1637,2588,26208
